preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.234874843223784,1994,1,,/title/tt0111161/
2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.156213875173314,1972,2,,/title/tt0068646/
3,Batman: El caballero de la noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.988554072032247,2008,3,,/title/tt0468569/
4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.984199583163415,1974,4,,/title/tt0071562/
1,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.950227527116631,1957,5,,/title/tt0050083/
2,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.937342728240768,1993,6,,/title/tt0108052/
3,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.926990052719857,2003,7,,/title/tt0167260/
4,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.848789629833606,1994,8,,/title/tt0110912/
1,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.807468058912583,2001,9,,/title/tt0120737/
2," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.791544302646496,1966,1,,/title/tt0060196/
3,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767642200505197,1994,11,,/title/tt0109830/
4,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.74898073070395,1999,12,,/title/tt0137523/
1,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.733293780921487,2010,13,,/title/tt1375666/
2,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7324409361758,2002,14,,/title/tt0167261/
3,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.70003122961663,1980,15,,/title/tt0080684/
4,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.669827047173197,1999,16,,/title/tt0133093/
1,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.652032136953165,1990,17,,/title/tt0099685/
2,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.639795398030842,1975,18,,/title/tt0073486/
3,Seven,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.604200212635572,1995,19,,/title/tt0114369/
4,Los siete samuráis,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.599120101481933,1954,20,,/title/tt0047478/
1,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.595609509119905,1946,21,,/title/tt0038650/
2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.588048130778647,1991,22,,/title/tt0102926/
3,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.579707288814939,2002,23,,/title/tt0317248/
4,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.578478145179927,1998,24,,/title/tt0120815/
1,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.567231425379497,1997,25,,/title/tt0118799/
2,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.562617385021824,2014,26,,/title/tt0816692/
3,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.561518090926013,1999,27,,/title/tt0120689/
4,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.551034131738819,1977,28,,/title/tt0076759/
1,Terminator 2: Juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.535880630702486,1991,29,,/title/tt0103064/
2,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.517555500988768,1985,30,,/title/tt0088763/
3,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.51605365302441,2001,31,,/title/tt0245429/
4,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508025836004485,1960,32,,/title/tt0054215/
1,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.50614088056564,2002,33,,/title/tt0253474/
2,Parásitos,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.497553839039178,2019,34,,/title/tt6751668/
3,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.496956739795191,1994,35,,/title/tt0110413/
4,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.488309275649778,1994,36,,/title/tt0110357/
1,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.486053165595436,2000,37,,/title/tt0172495/
2,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.483178702834167,1998,38,,/title/tt0120586/
3,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.475390587776044,2006,39,,/title/tt0407887/
4,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.473235916135867,1995,40,,/title/tt0114814/
1,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.468720714668205,2006,41,,/title/tt0482571/
2,Whiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.46391338312817,2014,42,,/title/tt2582802/
3,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.463776400621672,1942,43,,/title/tt0034583/
4,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.454032236731331,2011,44,,/title/tt1675434/
1,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.452864376757462,1962,45,,/title/tt0056058/
2,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.452162771763945,1988,46,,/title/tt0095327/
3,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.448893934912592,1936,47,,/title/tt0027977/
4,Érase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.445582695102996,1968,48,,/title/tt0064116/
1,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.43667514130175,1954,49,,/title/tt0047396/
2,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.434157010597692,1931,50,,/title/tt0021749/
3,"Alien, el octavo pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.434146436514002,1979,51,,/title/tt0078748/
4,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.432205588807117,1988,52,,/title/tt0095765/
1,Apocalipsis ahora,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.424370905597756,1979,53,,/title/tt0078788/
2,Amnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.423249302285836,2000,54,,/title/tt0209144/
3,Los cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.408880174264057,1981,55,,/title/tt0082971/
4,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4055911317851,2012,56,,/title/tt1853728/
1,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.39390088840719,2008,57,,/title/tt0910970/
2,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.38548687037243,2006,58,,/title/tt0405094/
3,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.381889803483373,1950,59,,/title/tt0043014/
4,La patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.372409057703765,1957,60,,/title/tt0050825/
1,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.366190974818343,1980,61,,/title/tt0081505/
2,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.366105262057822,1940,62,,/title/tt0032553/
3,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.359920354278888,1957,63,,/title/tt0051201/
4,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.359597866834635,2018,64,,/title/tt4154756/
1,Alien 2: El regreso,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.343268862939277,1986,65,,/title/tt0090605/
2,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.334656655049065,1999,66,,/title/tt0169547/
3,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.333302130219433,2018,67,,/title/tt4633694/
4,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.331225072192725,1964,68,,/title/tt0057012/
1,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.327675255962394,2012,69,,/title/tt1345836/
2,Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.32035474971896,2003,70,,/title/tt0364569/
3,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.316510808788312,2019,71,,/title/tt7286456/
4,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.316024323719484,1984,72,,/title/tt0086879/
1,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.31418514027317,1995,73,,/title/tt0114709/
2,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.314142692976395,2009,74,,/title/tt0361748/
3,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.313993087891477,1995,75,,/title/tt0112573/
4,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.313917503436741,2017,76,,/title/tt2380307/
1,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.312211608484525,1981,77,,/title/tt0082096/
2,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.305745372584637,2022,78,,/title/tt1745960/
3,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.303935022852222,2019,79,,/title/tt4154796/
4,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303407994071376,1997,80,,/title/tt0119698/
1,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.297691913201222,1984,81,,/title/tt0087843/
2,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.288706310601384,1997,82,,/title/tt0119217/
3,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.279157315884,2016,83,,/title/tt5311514/
4,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.27593150220976,2000,84,,/title/tt0180093/
1,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.274216622057248,2010,85,,/title/tt0435761/
2,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.273594409722103,1952,86,,/title/tt0045152/
3,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.273500746294042,2009,87,,/title/tt1187043/
4,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.26872152635521,1963,88,,/title/tt0057565/
1,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.265683106984964,1983,89,,/title/tt0086190/
2,2001: Odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.26395950117152,1968,90,,/title/tt0062622/
3,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.263217601812173,2004,91,,/title/tt0338013/
4,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.262068262178587,1992,92,,/title/tt0105236/
1,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.261938041055851,2018,93,,/title/tt8267604/
2,La caza,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.256081254417385,2012,94,,/title/tt2106476/
3,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.254836795126034,1941,95,,/title/tt0033467/
4,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.254163182131933,1962,96,,/title/tt0056172/
1,"M, el Maldito","Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.253585486374158,1931,97,,/title/tt0022100/
2,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.251798867545547,1985,98,,/title/tt0091251/
3,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.249933074766034,1959,99,,/title/tt0053125/
4, De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.246200834381058,1958,10,,/title/tt0052357/
1,Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.244027474955425,2001,101,,/title/tt0211915/
2,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.242451789102724,1971,102,,/title/tt0066921/
3,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.239282722075325,1960,103,,/title/tt0053604/
4,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.238958059813777,1944,104,,/title/tt0036775/
1,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.238589880224119,1987,105,,/title/tt0093058/
2,Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.238179206049498,1952,106,,/title/tt0044741/
3,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.235126004714395,1983,107,,/title/tt0086250/
4,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.234716725020139,2020,108,,/title/tt8503618/
1,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.227691757552117,1973,109,,/title/tt0070735/
2,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.227201205892543,1962,110,,/title/tt0056592/
3,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.224707343768515,1995,111,,/title/tt0113277/
4,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.224443244735907,2009,112,,/title/tt1049413/
1,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.223978044752162,1976,113,,/title/tt0075314/
2,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.223797072884384,2010,114,,/title/tt1255953/
3,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.222191395581838,1927,115,,/title/tt0017136/
4,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.22171072620679,2011,116,,/title/tt1832382/
1,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.221679026965719,1997,117,,/title/tt0119488/
2,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.218772918861262,2000,118,,/title/tt0208092/
3,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.218285496371724,1948,119,,/title/tt0040522/
4,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.218142055636076,1988,120,,/title/tt0095016/
1,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.216969291019517,1989,121,,/title/tt0097576/
2,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.21138817609636,2007,122,,/title/tt0986264/
3,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.211305136794774,2019,123,,/title/tt8579674/
4,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.203748797071487,2004,124,,/title/tt0363163/
